Level;Item;Quantity;UM;Mat-No/Doc;Kind;PTYP;Validfrom;Validto;Docu-No/He
1;0001;1,000;ST;00000000-000-1;01;01;01.05.2023;31.12.9999;URDOBRA FBXWMKL
2;0002;1,000;ST;00000000-000-2;02;02;;;NVXHIQV XVIWDAC
2;0003;1,000;ST;00000000-000-2;02;02;;;NVXHIQV XVIWDAC
2;0004;1,000;ST;00000000-000-3;03;03;01.05.2023;31.12.9999;FZVEAZV KHHHURE
3;0005;1,000;ST;00000000-000-4;04;01;01.07.2020;31.12.9999;EXMQWIP DZOJOVX
3;0006;1,000;ST;00000000-000-5;05;03;01.07.2020;31.12.9999;WVRYRXA CBRLLPD
0;0007;1,000;;00000000-000-6;02;04;;;NVXHIQV XVIWDAC
3;0008;1,000;ST;00000000-000-7;05;03;01.07.2020;31.12.9999;NQZOYQS XVGGRNB
0;0007;1,000;;00000000-000-6;02;04;;;NVXHIQV XVIWDAC
3;0009;1,000;ST;00000000-000-8;05;03;01.07.2020;31.12.9999;AGVLDXO MPJCUEB
3;0010;2,000;ST;00000000-000-9;05;03;01.07.2020;31.12.9999;VUELTLQ IPVQFEY
0;0007;1,000;;00000000-000-6;02;04;;;NVXHIQV XVIWDAC
0;0007;1,000;;00000000-000-6;02;04;;;NVXHIQV XVIWDAC
3;0011;1,000;M;00000000-001-0;05;03;01.07.2020;31.12.9999;ZLRAKYC UVAHRPB
3;0012;4,000;ST;00000000-001-1;05;03;01.07.2020;31.12.9999;APLELRB BCUYBLR
3;0013;4,000;ST;00000000-001-2;05;03;01.07.2020;31.12.9999;RAVXTPN DRCKFZB
3;0014;1,000;ST;00000000-001-3;05;03;01.07.2020;31.12.9999;YDDBWOH ZJLUNWY
3;0015;1,000;ST;00000000-001-4;03;03;01.07.2020;31.12.9999;JWBINLD VFKYZOX
4;0001;1,000;ST;00000000-001-5;03;03;01.10.1985;31.12.9999;JWBINLD VFKYZOX
4;0016;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;XIUFSAC YRWEWJR
4;0017;3,000;ST;00000000-001-7;05;03;01.10.1985;31.12.9999;QJDFTPT VBBSNXD
4;0018;3,000;ST;00000000-001-8;05;03;01.10.1985;31.12.9999;YTDXAKC BROVVVL
4;0006;3,000;ST;00000000-001-9;05;03;01.10.1985;31.12.9999;FEDQCME VGSGZDC
4;0014;3,000;ST;00000000-002-0;05;03;01.10.1985;31.12.9999;HSMEDZA YTHWYPP
4;0019;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;XIUFSAC YRWEWJR
3;0020;1,000;ST;00000000-002-1;03;03;01.07.2020;31.12.9999;RPKXTIP WXCLLYC
4;0001;1,000;ST;00000000-002-2;03;03;01.10.1985;31.12.9999;RPKXTIP WXCLLYC
4;0016;2,000;ST;00000000-002-3;05;03;01.10.1985;31.12.9999;MLRBHZU ZBRSVLH
3;0004;1,000;ST;00000000-002-4;03;03;01.07.2020;31.12.9999;LWTDXPE RIIFUMK
4;0001;1,000;ST;00000000-002-5;03;03;01.01.2022;31.12.9999;UKSRAXL HQVRPUS
4;0016;2,000;ST;00000000-002-6;05;03;01.07.2006;31.12.9999;NTEXXIL BIIOJYV
